id,listing_id,date,reviewer_id,reviewer_name,comments,score
363157990,9324140,2018-12-28,80940,Christine,"The place is very central, and very nice! Clean, tidy and bigger than expected. We never met Gorette but her assistants were lovely, and very accomodating. Highly recommended!",93
286909240,4132363,2018-07-07,80940,Ben,"The place is in a nice inviting neighborhood. Urban enough, but on a relatively quiet street. Just right for us. A bit small - we wouldn't want to have an extended stay there. We'd definitely recommend the place to others!",35

